YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,WEATHER_DELAY
2022,1,1,1/1/2022 12:00:00 AM,AS,N247AK,75,SEA,JNU,1245,1300,15.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N247AK,76,JNU,SEA,1525,1529,4.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N251AK,118,SEA,ANC,1535,1600,25.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N253AK,127,SEA,ANC,2245,2348,63.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N265AK,145,SEA,FAI,2250,0001,71.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N266AK,115,SEA,ANC,1930,2109,99.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N266AK,150,ANC,LAX,2335,0234,179.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N267AK,82,ANC,SEA,0605,0606,1.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N270AK,199,LAX,ANC,2359,,,1.00,A,
2022,1,1,1/1/2022 12:00:00 AM,AS,N275AK,112,SEA,ANC,1415,1431,16.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N278AK,121,SEA,ANC,2130,2222,52.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N284AK,130,ANC,PDX,0625,0625,0.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N290AK,234,FAI,SEA,0252,0322,30.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N296AK,776,LAS,ANC,1730,1742,12.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N298AK,223,SEA,FAI,2125,2237,72.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N320AS,86,ANC,SEA,0800,0753,0.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N413AS,104,ANC,SEA,0520,,,1.00,A,
2022,1,1,1/1/2022 12:00:00 AM,AS,N453AS,139,ORD,ANC,0705,0900,115.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N453AS,872,ANC,KOA,1605,1602,0.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N457AS,92,ANC,SEA,0425,0420,0.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N459AS,85,SEA,ANC,0800,,,1.00,A,
2022,1,1,1/1/2022 12:00:00 AM,AS,N459AS,98,ANC,SEA,1415,,,1.00,A,
2022,1,1,1/1/2022 12:00:00 AM,AS,N479AS,110,ANC,SEA,0245,,,1.00,A,
2022,1,1,1/1/2022 12:00:00 AM,AS,N483AS,97,SEA,ANC,1255,1302,7.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N486AS,156,FAI,SEA,0127,0202,35.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N487AS,138,ANC,ORD,2325,,,1.00,A,
2022,1,1,1/1/2022 12:00:00 AM,AS,N487AS,143,PDX,ANC,1935,,,1.00,A,
2022,1,1,1/1/2022 12:00:00 AM,AS,N512AS,154,OTZ,ANC,1255,1315,20.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N512AS,165,ANC,OTZ,1025,1055,30.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N512AS,828,ANC,HNL,1740,1731,0.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N512AS,871,HNL,ANC,2355,0008,13.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N513AS,1204,ANC,SEA,1515,1533,18.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N513AS,95,SEA,ANC,1120,1153,33.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N519AS,140,ANC,PDX,1910,1907,0.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N524AS,157,PHX,ANC,1800,1800,0.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N537AS,176,JNU,SEA,0530,,,1.00,A,
2022,1,1,1/1/2022 12:00:00 AM,AS,N551AS,172,ANC,PHX,2215,2216,1.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N551AS,93,SEA,ANC,1205,1208,3.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N552AS,144,FAI,SEA,1720,1821,61.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N552AS,1465,SEA,FAI,1320,1438,78.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N566AS,197,PDX,ANC,0610,0643,33.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N566AS,707,ANC,LAS,2355,2348,0.00,0.00,,
2022,1,1,1/1/2022 12:00:00 AM,AS,N570AS,873,KOA,ANC,2059,2255,116.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N577AS,84,ANC,SEA,0900,1010,70.00,0.00,,0.00
2022,1,1,1/1/2022 12:00:00 AM,AS,N609AS,40,ADQ,ANC,1540,,,1.00,B,
2022,1,1,1/1/2022 12:00:00 AM,AS,N609AS,47,ANC,ADQ,1725,,,1.00,B,
2022,1,1,1/1/2022 12:00:00 AM,AS,N609AS,49,ANC,ADQ,1345,,,1.00,B,
2022,1,1,1/1/2022 12:00:00 AM,AS,N611AS,131,ANC,FAI,1645,1632,0.00,0.00,,
